dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,0,span,No,True,True,0.04763710871338844,0.5614035087719298,0.5871559633027523,0.5739910313901345,0.9938519836052896,3.1389,307.429,5.097,50.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,1,span,No,True,True,0.04997712001204491,0.5979381443298969,0.5321100917431193,0.5631067961165048,0.9941999845332921,3.1179,309.502,5.132,50.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,2,span,No,True,True,0.04684313014149666,0.54,0.4954128440366973,0.5167464114832536,0.994161317763514,3.1385,307.471,5.098,50.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,3,span,No,True,True,0.054587043821811676,0.5875,0.43119266055045874,0.4973544973544974,0.9937359832959555,3.1201,309.283,5.128,50.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,4,span,No,True,True,0.05029873177409172,0.5353535353535354,0.48623853211009177,0.5096153846153846,0.9936199829866214,3.139,307.422,5.097,50.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,5,span,No,True,True,0.03486024588346481,0.488,0.5596330275229358,0.5213675213675213,0.993387982367953,1.7551,549.817,9.116,50.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,6,span,No,True,True,0.04823075234889984,0.5533980582524272,0.5229357798165137,0.5377358490566038,0.9937746500657335,1.7635,547.203,9.073,50.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,7,span,No,True,True,0.04536668211221695,0.5462962962962963,0.5412844036697247,0.543778801843318,0.994122650993736,1.7642,546.987,9.069,50.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,8,span,No,True,True,0.04835685342550278,0.5670103092783505,0.5045871559633027,0.5339805825242718,0.9941999845332921,1.7609,548.017,9.086,50.0
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,9,span,No,True,True,0.04563943296670914,0.5304347826086957,0.5596330275229358,0.5446428571428571,0.9940453174541799,1.7353,556.104,9.22,50.0
