dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_with_drug_dataset,0,span,4o,True,False,0.046915266662836075,0.5514018691588785,0.5412844036697247,0.5462962962962962,0.9942557733359209,3.0959,311.7,5.168,50.0
2024_gpt4o_span_with_drug_dataset,1,span,4o,True,False,0.04990549013018608,0.5454545454545454,0.4954128440366973,0.5192307692307692,0.9938676499126722,3.1073,310.555,5.149,50.0
2024_gpt4o_span_with_drug_dataset,2,span,4o,True,False,0.04391901567578316,0.5612244897959183,0.5045871559633027,0.5314009661835749,0.9941393363089462,3.1087,310.416,5.147,50.0
2024_gpt4o_span_with_drug_dataset,3,span,4o,True,False,0.049958135932683945,0.5252525252525253,0.47706422018348627,0.5,0.9940617116242966,2.7324,353.167,5.856,50.0
2024_gpt4o_span_with_drug_dataset,4,span,4o,True,False,0.0509674958884716,0.6292134831460674,0.5137614678899083,0.5656565656565657,0.9944110227052203,3.0933,311.96,5.172,50.0
2024_gpt4o_span_with_drug_dataset,5,span,4o,True,False,0.043285220861434937,0.5876288659793815,0.5229357798165137,0.5533980582524272,0.9943333980205705,1.7494,551.631,9.146,50.0
2024_gpt4o_span_with_drug_dataset,6,span,4o,True,False,0.04106776788830757,0.5795454545454546,0.46788990825688076,0.5177664974619289,0.9940228992819716,1.7517,550.897,9.134,50.0
2024_gpt4o_span_with_drug_dataset,7,span,4o,True,False,0.04851105809211731,0.5392156862745098,0.5045871559633027,0.5213270142180094,0.9941005239666214,1.7199,561.081,9.303,50.0
2024_gpt4o_span_with_drug_dataset,8,span,4o,True,False,0.051624830812215805,0.5384615384615384,0.5137614678899083,0.5258215962441315,0.9939064622549971,1.7346,556.309,9.224,50.0
2024_gpt4o_span_with_drug_dataset,9,span,4o,True,False,0.04840151593089104,0.5169491525423728,0.5596330275229358,0.5374449339207048,0.9937124005433728,1.6857,572.478,9.492,50.0
