dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_with_drug_with_symptom_dataset,0,span,4o,True,True,0.04084208980202675,0.5789473684210527,0.5238095238095238,0.5500000000000002,0.9947124917382684,3.1638,305.012,5.057,50.0
2024_gpt4o_span_with_drug_with_symptom_dataset,1,span,4o,True,True,0.04645678400993347,0.56,0.5333333333333333,0.5463414634146342,0.994440340577738,3.1296,308.35,5.113,50.0
2024_gpt4o_span_with_drug_with_symptom_dataset,2,span,4o,True,True,0.0430370569229126,0.5412844036697247,0.5619047619047619,0.5514018691588786,0.9946736130010497,3.1492,306.424,5.081,50.0
2024_gpt4o_span_with_drug_with_symptom_dataset,3,span,4o,True,True,0.0466947965323925,0.6304347826086957,0.5523809523809524,0.5888324873096448,0.9948680066871428,3.1466,306.682,5.085,50.0
2024_gpt4o_span_with_drug_with_symptom_dataset,4,span,4o,True,True,0.04824518412351608,0.5130434782608696,0.5619047619047619,0.5363636363636365,0.9937794020450216,3.1713,304.294,5.045,50.0
2024_gpt4o_span_with_drug_with_symptom_dataset,5,span,4o,True,True,0.046208932995796204,0.5436893203883495,0.5333333333333333,0.5384615384615384,0.9941681894172077,3.1386,307.464,5.098,50.0
2024_gpt4o_span_with_drug_with_symptom_dataset,6,span,4o,True,True,0.031419407576322556,0.5344827586206896,0.5904761904761905,0.5610859728506787,0.9945958555266124,1.8828,512.537,8.498,50.0
2024_gpt4o_span_with_drug_with_symptom_dataset,7,span,4o,True,True,0.046633727848529816,0.59,0.5619047619047619,0.5756097560975609,0.9947902492127055,1.7682,545.752,9.049,50.0
2024_gpt4o_span_with_drug_with_symptom_dataset,8,span,4o,True,True,0.04512998089194298,0.5178571428571429,0.5523809523809524,0.5345622119815668,0.9942070681544264,1.7778,542.796,9.0,50.0
2024_gpt4o_span_with_drug_with_symptom_dataset,9,span,4o,True,True,0.044814977794885635,0.5714285714285714,0.5333333333333333,0.5517241379310344,0.9938571595194589,1.6896,571.137,9.47,50.0
