dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_with_symptom_dataset,0,span,4o,False,True,0.043470241129398346,0.59,0.5619047619047619,0.5756097560975609,0.9948114303415163,3.1129,310.003,5.14,50.0
2024_gpt4o_span_with_symptom_dataset,1,span,4o,False,True,0.04482254013419151,0.5555555555555556,0.5714285714285714,0.5633802816901409,0.9942306203051189,3.1345,307.868,5.105,50.0
2024_gpt4o_span_with_symptom_dataset,2,span,4o,False,True,0.03864740952849388,0.5,0.638095238095238,0.5606694560669456,0.9938434136141873,3.142,307.127,5.092,50.0
2024_gpt4o_span_with_symptom_dataset,3,span,4o,False,True,0.03625904768705368,0.5042735042735043,0.5619047619047619,0.5315315315315315,0.9942306203051189,3.178,303.653,5.035,50.0
2024_gpt4o_span_with_symptom_dataset,4,span,4o,False,True,0.039299167692661285,0.5137614678899083,0.5333333333333333,0.5233644859813085,0.9946952683342368,3.1739,304.041,5.041,50.0
2024_gpt4o_span_with_symptom_dataset,5,span,4o,False,True,0.046299222856760025,0.6428571428571429,0.6,0.6206896551724138,0.9950050336869821,3.1512,306.228,5.077,50.0
2024_gpt4o_span_with_symptom_dataset,6,span,4o,False,True,0.04320714250206947,0.5203252032520326,0.6095238095238096,0.5614035087719298,0.9944629443196779,1.7571,549.193,9.106,50.0
2024_gpt4o_span_with_symptom_dataset,7,span,4o,False,True,0.04387820512056351,0.5137614678899083,0.5333333333333333,0.5233644859813085,0.9943080616433052,1.8129,532.287,8.825,50.0
2024_gpt4o_span_with_symptom_dataset,8,span,4o,False,True,0.04778818041086197,0.63,0.6,0.6146341463414634,0.9949275923487958,1.7747,543.763,9.016,50.0
2024_gpt4o_span_with_symptom_dataset,9,span,4o,False,True,0.044575225561857224,0.5806451612903226,0.5142857142857142,0.5454545454545455,0.99473398900333,1.7368,555.626,9.212,50.0
