dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt35_context,0,context,3.5,False,False,0.052215591073036194,0.603448275862069,0.6422018348623854,0.6222222222222221,0.9945116530746336,4.1086,234.875,3.894,50
2024_gpt35_context,0,context,3.5,False,False,0.0504072904586792,0.5619834710743802,0.6238532110091743,0.5913043478260869,0.9937386464654272,4.074,236.87,3.927,50
2024_gpt35_context,0,context,3.5,False,False,0.04234076663851738,0.5779816513761468,0.5779816513761468,0.5779816513761468,0.9941251497700304,4.0466,238.474,3.954,50
2024_gpt35_context,0,context,3.5,False,False,0.04081202670931816,0.591304347826087,0.6238532110091743,0.6071428571428572,0.9942024504309512,4.0865,236.145,3.915,50
2024_gpt35_context,0,context,3.5,False,False,0.04451094567775726,0.6388888888888888,0.6330275229357798,0.6359447004608294,0.9944730027441736,4.0733,236.911,3.928,50
2024_gpt35_context,0,context,3.5,False,False,0.045954372733831406,0.6146788990825688,0.6146788990825688,0.6146788990825688,0.994550303405094,4.0545,238.009,3.946,50
2024_gpt35_context,0,context,3.5,False,False,0.05031270161271095,0.5641025641025641,0.6055045871559633,0.5840707964601769,0.9945889537355544,4.0904,235.918,3.912,50
2024_gpt35_context,0,context,3.5,False,False,0.045995209366083145,0.6238532110091743,0.6238532110091743,0.6238532110091743,0.9945116530746336,4.1352,233.362,3.869,50
2024_gpt35_context,0,context,3.5,False,False,0.046772513538599014,0.6633663366336634,0.6146788990825688,0.6380952380952382,0.9947435550573958,4.0647,237.413,3.936,50
2024_gpt35_context,0,context,3.5,False,False,0.05091449990868568,0.6190476190476191,0.5963302752293578,0.6074766355140186,0.9945116530746336,4.0822,236.39,3.919,50
2024_gpt35_context,0,context,3.5,False,False,0.04024399444460869,0.6262626262626263,0.5688073394495413,0.5961538461538461,0.9943570517527924,4.0575,237.83,3.943,50
