dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt35_span,0,span,3.5,False,False,0.04124943166971207,0.5964912280701754,0.6238532110091743,0.609865470852018,0.9945744845760348,4.0419,238.751,3.959,50
2024_gpt35_span,0,span,3.5,False,False,0.04151204228401184,0.5081967213114754,0.5688073394495413,0.5367965367965368,0.9939156719888388,4.0863,236.157,3.916,17
2024_gpt35_span,0,span,3.5,False,False,0.04609769210219383,0.5932203389830508,0.6422018348623854,0.6167400881057269,0.9947294993024336,4.0562,237.909,3.945,50
2024_gpt35_span,0,span,3.5,False,False,0.05101322382688522,0.5714285714285714,0.5504587155963303,0.5607476635514019,0.994690745620834,4.0531,238.089,3.948,50
2024_gpt35_span,0,span,3.5,False,False,0.04425434768199921,0.6730769230769231,0.6422018348623854,0.6572769953051644,0.9952332971632304,4.0749,236.818,3.927,50
2024_gpt35_span,0,span,3.5,False,False,0.04381623864173889,0.6017699115044248,0.6238532110091743,0.6126126126126127,0.9944582235312356,4.049,238.331,3.952,50
2024_gpt35_span,0,span,3.5,False,False,0.03868592530488968,0.5714285714285714,0.6238532110091743,0.5964912280701754,0.9947294993024336,4.1421,232.974,3.863,50
2024_gpt35_span,0,span,3.5,False,False,0.0494280569255352,0.6017699115044248,0.6238532110091743,0.6126126126126127,0.9948070066656332,4.0624,237.542,3.939,50
2024_gpt35_span,0,span,3.5,False,False,0.03969114273786545,0.5892857142857143,0.6055045871559633,0.5972850678733032,0.9948070066656332,4.0608,237.64,3.94,50
2024_gpt35_span,0,span,3.5,False,False,0.03714042156934738,0.575,0.6330275229357798,0.6026200873362445,0.9949232677104324,4.089,235.998,3.913,50
2024_gpt35_span,0,span,3.5,False,False,0.0473717488348484,0.5486725663716814,0.5688073394495413,0.5585585585585585,0.994070686715238,4.0709,237.049,3.93,50
