dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt35_span_with_context,0,span/context,3.5,False,False,0.04308217763900757,0.5855855855855856,0.5963302752293578,0.5909090909090908,0.9936831498992404,4.0611,237.618,3.94,50
2024_gpt35_span_with_context,0,span/context,3.5,False,False,0.05348588153719902,0.5428571428571428,0.5229357798165137,0.5327102803738317,0.9939156719888388,4.0609,237.63,3.94,50
2024_gpt35_span_with_context,0,span/context,3.5,False,False,0.0490352027118206,0.5887850467289719,0.5779816513761468,0.5833333333333334,0.9944194698496356,4.0986,235.446,3.904,50
2024_gpt35_span_with_context,0,span/context,3.5,False,False,0.05482640489935875,0.6039603960396039,0.5596330275229358,0.5809523809523809,0.9939544256704388,4.0666,237.299,3.934,50
2024_gpt35_span_with_context,0,span/context,3.5,False,False,0.045788802206516266,0.5811965811965812,0.6238532110091743,0.6017699115044248,0.9942644551232368,4.0493,238.312,3.951,50
2024_gpt35_span_with_context,0,span/context,3.5,False,False,0.049816276878118515,0.5338983050847458,0.5779816513761468,0.5550660792951543,0.9942644551232368,4.0843,236.272,3.917,50
2024_gpt35_span_with_context,0,span/context,3.5,False,False,0.044170401990413666,0.6036036036036037,0.6146788990825688,0.6090909090909091,0.9946132382576344,4.0785,236.609,3.923,50
2024_gpt35_span_with_context,0,span/context,3.5,False,False,0.04668891429901123,0.5675675675675675,0.5779816513761468,0.5727272727272728,0.9936056425360408,4.0596,237.706,3.941,50
2024_gpt35_span_with_context,0,span/context,3.5,False,False,0.050716400146484375,0.5892857142857143,0.6055045871559633,0.5972850678733032,0.9940319330336382,4.0796,236.542,3.922,50
2024_gpt35_span_with_context,0,span/context,3.5,False,False,0.05404955893754959,0.6407766990291263,0.6055045871559633,0.6226415094339623,0.9943032088048364,4.0586,237.768,3.942,50
