dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context,0,context,4o,False,False,0.04929712042212486,0.5877192982456141,0.6146788990825688,0.6008968609865472,0.994666254396475,4.072,236.981,3.929,50
2024_gpt4o_context,0,context,4o,False,False,0.021633874624967575,0.580952380952381,0.5596330275229358,0.5700934579439252,0.9943570517527924,4.0397,238.88,3.961,50
2024_gpt4o_context,0,context,4o,False,False,0.034663502126932144,0.5241935483870968,0.5963302752293578,0.5579399141630901,0.9943184014223322,4.2636,226.334,3.753,50
2024_gpt4o_context,0,context,4o,False,False,0.04325277730822563,0.5663716814159292,0.5871559633027523,0.5765765765765767,0.9942797510918718,4.0357,239.115,3.965,50
2024_gpt4o_context,0,context,4o,False,False,0.036787644028663635,0.5603448275862069,0.5963302752293578,0.5777777777777777,0.9948595060487768,4.0003,241.234,4,50
2024_gpt4o_context,0,context,4o,False,False,0.035114847123622894,0.6017699115044248,0.6238532110091743,0.6126126126126127,0.9950527577010784,4.2463,227.259,3.768,50
2024_gpt4o_context,0,context,4o,False,False,0.05423764884471893,0.5754716981132075,0.5596330275229358,0.5674418604651162,0.9944343524137133,4.0445,238.595,3.956,50
2024_gpt4o_context,0,context,4o,False,False,0.050252411514520645,0.58,0.5321100917431193,0.5550239234449761,0.9950527577010784,4.0495,238.304,3.951,50
2024_gpt4o_context,0,context,4o,False,False,0.049357034265995026,0.6538461538461539,0.6238532110091743,0.6384976525821596,0.99524600935338,4.2643,226.296,3.752,50
2024_gpt4o_context,0,context,4o,False,False,0.044022947549819946,0.625,0.5963302752293578,0.6103286384976525,0.9945889537355544,4.2591,226.574,3.757,50
2024_gpt4o_context,0,context,4o,False,False,0.047415342181921005,0.6132075471698113,0.5963302752293578,0.6046511627906976,0.9948981563792372,4.263,226.367,3.753,50
2024_gpt4o_context,0,context,4o,False,False,0.035487666726112366,0.62,0.5688073394495413,0.5933014354066987,0.9948595060487768,4.3451,222.091,3.682,50
2024_gpt4o_context,0,context,4o,False,False,0.04414115473628044,0.6372549019607843,0.5963302752293578,0.6161137440758293,0.994550303405094,4.2566,226.704,3.759,50
2024_gpt4o_context,0,context,4o,False,False,0.04626774787902832,0.6210526315789474,0.5412844036697247,0.5784313725490196,0.9942797510918718,4.2507,227.022,3.764,50
