dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_tweet_only_with_drug_dataset,0,context,No,True,False,0.04229217767715454,0.6382978723404256,0.5504587155963303,0.5911330049261083,0.9947049047269354,4.0131,240.462,3.987,50
2024_gpt4o_context_tweet_only_with_drug_dataset,0,context,No,True,False,0.04554290324449539,0.6382978723404256,0.5504587155963303,0.5911330049261083,0.9950527577010784,3.9931,241.668,4.007,50
2024_gpt4o_context_tweet_only_with_drug_dataset,0,context,No,True,False,0.03971276804804802,0.6382978723404256,0.5504587155963303,0.5911330049261083,0.995130058361999,4.005,240.951,3.995,50
2024_gpt4o_context_tweet_only_with_drug_dataset,0,context,No,True,False,0.04105262458324432,0.6122448979591837,0.5504587155963303,0.5797101449275363,0.9948208557183164,4.0283,239.553,3.972,50
2024_gpt4o_context_tweet_only_with_drug_dataset,0,context,No,True,False,0.04478995501995087,0.6111111111111112,0.6055045871559633,0.6082949308755761,0.9945889537355544,4.023,239.872,3.977,50
2024_gpt4o_context_tweet_only_with_drug_dataset,0,context,No,True,False,0.04673827067017555,0.63,0.5779816513761468,0.6028708133971291,0.995130058361999,3.9924,241.709,4.008,50
2024_gpt4o_context_tweet_only_with_drug_dataset,0,context,No,True,False,0.05084468796849251,0.6382978723404256,0.5504587155963303,0.5911330049261083,0.9945116530746336,4.0282,239.564,3.972,50
2024_gpt4o_context_tweet_only_with_drug_dataset,0,context,No,True,False,0.04354041814804077,0.5904761904761905,0.5688073394495413,0.5794392523364487,0.994666254396475,4.0257,239.708,3.974,50
2024_gpt4o_context_tweet_only_with_drug_dataset,0,context,No,True,False,0.03876645490527153,0.5849056603773585,0.5688073394495413,0.5767441860465117,0.9948981563792372,4.0136,240.43,3.986,50
2024_gpt4o_context_tweet_only_with_drug_dataset,0,context,No,True,False,0.038752224296331406,0.6132075471698113,0.5963302752293578,0.6046511627906976,0.9949368067096974,3.9985,241.338,4.001,50
