dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,0,context,No,True,True,0.038631998002529144,0.5630252100840336,0.6146788990825688,0.5877192982456141,0.9945116530746336,3.9953,241.535,4.005,50
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,0,context,No,True,True,0.04304913058876991,0.5981308411214953,0.5871559633027523,0.5925925925925924,0.9947435550573958,4.072,236.986,3.929,50
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,0,context,No,True,True,0.049134790897369385,0.5945945945945946,0.6055045871559633,0.6,0.9943957020832528,4.018,240.17,3.982,50
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,0,context,No,True,True,0.05718403682112694,0.5979381443298969,0.5321100917431193,0.5631067961165048,0.9943184014223322,4.0049,240.956,3.995,50
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,0,context,No,True,True,0.04964017868041992,0.5573770491803278,0.6238532110091743,0.5887445887445888,0.9943570517527924,4.0269,239.636,3.973,50
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,0,context,No,True,True,0.039133016020059586,0.5714285714285714,0.5871559633027523,0.579185520361991,0.9945889537355544,4.0224,239.909,3.978,50
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,0,context,No,True,True,0.04859013482928276,0.5959595959595959,0.5412844036697247,0.5673076923076923,0.994550303405094,3.994,241.609,4.006,50
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,0,context,No,True,True,0.047792091965675354,0.6095238095238096,0.5871559633027523,0.5981308411214953,0.9945889537355544,4.0112,240.574,3.989,50
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,0,context,No,True,True,0.039548564702272415,0.5575221238938053,0.5779816513761468,0.5675675675675675,0.9948595060487768,4.0004,241.226,4,50
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,0,context,No,True,True,0.042911987751722336,0.5423728813559322,0.5871559633027523,0.5638766519823789,0.9943570517527924,3.9985,241.34,4.001,50
2024_gpt4o_context_tweet_only_with_drug_with_symptom_dataset,0,context,No,True,True,0.03959079086780548,0.5258620689655172,0.5596330275229358,0.5422222222222222,0.9944730027441736,4.0634,237.488,3.938,50
