dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_tweet_only_with_symptom_dataset,0,context,No,False,True,0.04533600434660912,0.6363636363636364,0.5779816513761468,0.6057692307692307,0.9948981563792372,4.0242,239.8,3.976,50
2024_gpt4o_context_tweet_only_with_symptom_dataset,0,context,No,False,True,0.047256067395210266,0.5511811023622047,0.6422018348623854,0.5932203389830509,0.9944343524137133,3.9954,241.525,4.005,50
2024_gpt4o_context_tweet_only_with_symptom_dataset,0,context,No,False,True,0.03805042430758476,0.5726495726495726,0.6146788990825688,0.5929203539823009,0.994782205387856,4.0329,239.283,3.967,50
2024_gpt4o_context_tweet_only_with_symptom_dataset,0,context,No,False,True,0.04306568577885628,0.6129032258064516,0.5229357798165137,0.5643564356435643,0.994550303405094,4.0439,238.631,3.957,50
2024_gpt4o_context_tweet_only_with_symptom_dataset,0,context,No,False,True,0.04635806009173393,0.5193798449612403,0.6146788990825688,0.5630252100840335,0.9942411007614116,4.0332,239.267,3.967,50
2024_gpt4o_context_tweet_only_with_symptom_dataset,0,context,No,False,True,0.043234631419181824,0.6153846153846154,0.5871559633027523,0.6009389671361502,0.9950527577010784,4.0079,240.776,3.992,50
2024_gpt4o_context_tweet_only_with_symptom_dataset,0,context,No,False,True,0.04726196080446243,0.6,0.5779816513761468,0.5887850467289719,0.9947435550573958,4.0153,240.332,3.985,50
2024_gpt4o_context_tweet_only_with_symptom_dataset,0,context,No,False,True,0.03506080061197281,0.5363636363636364,0.5412844036697247,0.5388127853881279,0.9940864994395702,4.0431,238.681,3.957,50
2024_gpt4o_context_tweet_only_with_symptom_dataset,0,context,No,False,True,0.04895131662487984,0.6116504854368932,0.5779816513761468,0.5943396226415093,0.9949754570401576,3.9972,241.421,4.003,50
2024_gpt4o_context_tweet_only_with_symptom_dataset,0,context,No,False,True,0.04890599846839905,0.6261682242990654,0.6146788990825688,0.6203703703703702,0.994782205387856,4.0385,238.949,3.962,50
2024_gpt4o_context_tweet_only_with_symptom_dataset,0,context,No,False,True,0.04614802077412605,0.5471698113207547,0.5321100917431193,0.5395348837209303,0.9943570517527924,4.0351,239.153,3.965,50
