dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_with_drug_dataset,0,context,4o,True,False,0.05094269290566445,0.6153846153846154,0.5871559633027523,0.6009389671361502,0.9948208557183164,4.0746,236.835,3.927,50
2024_gpt4o_context_with_drug_dataset,0,context,4o,True,False,0.04483339935541153,0.6057692307692307,0.5779816513761468,0.5915492957746479,0.995014107370618,4.0807,236.478,3.921,50
2024_gpt4o_context_with_drug_dataset,0,context,4o,True,False,0.0471288338303566,0.6326530612244898,0.5688073394495413,0.5990338164251208,0.9947049047269354,4.0504,238.247,3.95,50
2024_gpt4o_context_with_drug_dataset,0,context,4o,True,False,0.03951755166053772,0.5909090909090909,0.5963302752293578,0.593607305936073,0.9948595060487768,4.0573,237.84,3.943,50
2024_gpt4o_context_with_drug_dataset,0,context,4o,True,False,0.0503331758081913,0.6116504854368932,0.5779816513761468,0.5943396226415093,0.9946276040660148,4.0793,236.56,3.922,50
2024_gpt4o_context_with_drug_dataset,0,context,4o,True,False,0.050870880484580994,0.5961538461538461,0.5688073394495413,0.5821596244131455,0.9944730027441736,4.0615,237.596,3.939,50
2024_gpt4o_context_with_drug_dataset,0,context,4o,True,False,0.04379703477025032,0.5625,0.5779816513761468,0.5701357466063349,0.9944730027441736,4.0615,237.597,3.939,50
2024_gpt4o_context_with_drug_dataset,0,context,4o,True,False,0.041617147624492645,0.6,0.5779816513761468,0.5887850467289719,0.994782205387856,4.0746,236.835,3.927,50
2024_gpt4o_context_with_drug_dataset,0,context,4o,True,False,0.05362927168607712,0.6095238095238096,0.5871559633027523,0.5981308411214953,0.9943957020832528,4.0836,236.314,3.918,50
2024_gpt4o_context_with_drug_dataset,0,context,4o,True,False,0.04812537878751755,0.5943396226415094,0.5779816513761468,0.5860465116279069,0.9944343524137133,4.0647,237.408,3.936,50
