dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_with_drug_with_symptom_dataset,0,context,4o,True,True,0.04929757118225098,0.5979381443298969,0.5321100917431193,0.5631067961165048,0.9945889537355544,4.0004,241.227,4,50
2024_gpt4o_context_with_drug_with_symptom_dataset,0,context,4o,True,True,0.040365055203437805,0.5847457627118644,0.6330275229357798,0.6079295154185023,0.9949368067096974,4.0096,240.673,3.99,50
2024_gpt4o_context_with_drug_with_symptom_dataset,0,context,4o,True,True,0.0494854599237442,0.6095238095238096,0.5871559633027523,0.5981308411214953,0.9945889537355544,4.0277,239.591,3.972,50
2024_gpt4o_context_with_drug_with_symptom_dataset,0,context,4o,True,True,0.051674868911504745,0.6176470588235294,0.5779816513761468,0.5971563981042655,0.9941638001004908,3.9995,241.28,4.001,50
2024_gpt4o_context_with_drug_with_symptom_dataset,0,context,4o,True,True,0.05011903494596481,0.6,0.5779816513761468,0.5887850467289719,0.9945889537355544,3.9928,241.688,4.007,50
2024_gpt4o_context_with_drug_with_symptom_dataset,0,context,4o,True,True,0.0533432736992836,0.6346153846153846,0.6055045871559633,0.619718309859155,0.994666254396475,4.0043,240.988,3.996,50
2024_gpt4o_context_with_drug_with_symptom_dataset,0,context,4o,True,True,0.04890366643667221,0.594059405940594,0.5504587155963303,0.5714285714285715,0.994550303405094,4.0095,240.679,3.991,50
2024_gpt4o_context_with_drug_with_symptom_dataset,0,context,4o,True,True,0.04887680336833,0.62,0.5688073394495413,0.5933014354066987,0.994666254396475,3.997,241.43,4.003,50
2024_gpt4o_context_with_drug_with_symptom_dataset,0,context,4o,True,True,0.039921123534440994,0.5803571428571429,0.5963302752293578,0.588235294117647,0.994782205387856,4.0171,240.221,3.983,50
2024_gpt4o_context_with_drug_with_symptom_dataset,0,context,4o,True,True,0.044372234493494034,0.6105263157894737,0.5321100917431193,0.5686274509803921,0.9949368067096974,4.0828,236.356,3.919,50
