dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_context_with_symptom_dataset,0,context,4o,False,True,0.05030551552772522,0.6288659793814433,0.5596330275229358,0.5922330097087379,0.9949368067096974,4.0551,237.972,3.946,50
2024_gpt4o_context_with_symptom_dataset,0,context,4o,False,True,0.036576058715581894,0.6226415094339622,0.6055045871559633,0.613953488372093,0.9947435550573958,4.0872,236.103,3.915,50
2024_gpt4o_context_with_symptom_dataset,0,context,4o,False,True,0.04481540992856026,0.5818181818181818,0.5871559633027523,0.5844748858447488,0.9947049047269354,4.0664,237.308,3.935,50
2024_gpt4o_context_with_symptom_dataset,0,context,4o,False,True,0.05204610154032707,0.65,0.5963302752293578,0.6220095693779903,0.9948595060487768,4.101,235.308,3.901,50
2024_gpt4o_context_with_symptom_dataset,0,context,4o,False,True,0.04238943010568619,0.5775862068965517,0.6146788990825688,0.5955555555555555,0.9945116530746336,4.0708,237.056,3.93,50
2024_gpt4o_context_with_symptom_dataset,0,context,4o,False,True,0.04223580285906792,0.5982142857142857,0.6146788990825688,0.6063348416289592,0.9948981563792372,4.0849,236.238,3.917,50
2024_gpt4o_context_with_symptom_dataset,0,context,4o,False,True,0.039686571806669235,0.6262626262626263,0.5688073394495413,0.5961538461538461,0.9947435550573958,4.0787,236.596,3.923,50
2024_gpt4o_context_with_symptom_dataset,0,context,4o,False,True,0.04521377384662628,0.5688073394495413,0.5688073394495413,0.5688073394495413,0.9944730027441736,4.0574,237.838,3.943,50
2024_gpt4o_context_with_symptom_dataset,0,context,4o,False,True,0.04784674197435379,0.5818181818181818,0.5871559633027523,0.5844748858447488,0.994550303405094,4.0873,236.098,3.915,50
2024_gpt4o_context_with_symptom_dataset,0,context,4o,False,True,0.042302098125219345,0.6176470588235294,0.5779816513761468,0.5971563981042655,0.9943570517527924,4.0679,237.226,3.933,50
