dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_mini_context,0,context,4o-mini,False,False,0.04532516375184059,0.5299145299145299,0.5688073394495413,0.5486725663716815,0.99404784910911,4.0518,238.164,3.949,50
2024_gpt4o_mini_context,0,context,4o-mini,False,False,0.05187513679265976,0.6185567010309279,0.5504587155963303,0.5825242718446602,0.9947435550573958,3.9955,241.52,4.004,50
2024_gpt4o_mini_context,0,context,4o-mini,False,False,0.05205670744180679,0.6595744680851063,0.5688073394495413,0.6108374384236452,0.994550303405094,4.2872,225.089,3.732,50
2024_gpt4o_mini_context,0,context,4o-mini,False,False,0.04435746371746063,0.5689655172413793,0.6055045871559633,0.5866666666666667,0.9939318981177288,4.0208,240.003,3.979,50
2024_gpt4o_mini_context,0,context,4o-mini,False,False,0.050009533762931824,0.6039603960396039,0.5596330275229358,0.5809523809523809,0.994666254396475,4.0306,239.417,3.97,50
2024_gpt4o_mini_context,0,context,4o-mini,False,False,0.038494449108839035,0.5981308411214953,0.5871559633027523,0.5925925925925924,0.9942797510918718,4.2624,226.399,3.754,50
2024_gpt4o_mini_context,0,context,4o-mini,False,False,0.05225981026887894,0.5922330097087378,0.5596330275229358,0.5754716981132075,0.9943957020832528,4.2692,226.038,3.748,50
2024_gpt4o_mini_context,0,context,4o-mini,False,False,0.04914991930127144,0.6421052631578947,0.5596330275229358,0.5980392156862745,0.9945116530746336,4.2515,226.981,3.763,50
2024_gpt4o_mini_context,0,context,4o-mini,False,False,0.04972155392169952,0.53125,0.6238532110091743,0.5738396624472575,0.99404784910911,4.2672,226.144,3.75,50
2024_gpt4o_mini_context,0,context,4o-mini,False,False,0.049400392919778824,0.6565656565656566,0.5963302752293578,0.625,0.9948981563792372,4.2586,226.601,3.757,50
2024_gpt4o_mini_context,0,context,4o-mini,False,False,0.05426580458879471,0.5517241379310345,0.5871559633027523,0.5688888888888889,0.993815947126348,4.2329,227.974,3.78,50
