dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_mini_span,0,span,4o-mini,False,False,0.04279659688472748,0.5849056603773585,0.5688073394495413,0.5767441860465117,0.9951191167925624,4.0364,239.076,3.964,50
2024_gpt4o_mini_span,0,span,4o-mini,False,False,0.047816578298807144,0.61,0.5596330275229358,0.583732057416268,0.9949641681193104,4.0286,239.539,3.972,50
2024_gpt4o_mini_span,0,span,4o-mini,False,False,0.031606629490852356,0.631578947368421,0.5504587155963303,0.588235294117647,0.9948092194460584,4.2932,224.772,3.727,50
2024_gpt4o_mini_span,0,span,4o-mini,False,False,0.045537155121564865,0.4954128440366973,0.4954128440366973,0.4954128440366973,0.9944218477629284,4.0836,236.31,3.918,29.82
2024_gpt4o_mini_span,0,span,4o-mini,False,False,0.04693182185292244,0.5752212389380531,0.5963302752293578,0.5855855855855856,0.9945380592678676,4.0701,237.096,3.931,50
2024_gpt4o_mini_span,0,span,4o-mini,False,False,0.046775251626968384,0.5826086956521739,0.6146788990825688,0.5982142857142857,0.9946542707728064,4.2316,228.049,3.781,50
2024_gpt4o_mini_span,0,span,4o-mini,False,False,0.04965580627322197,0.584070796460177,0.6055045871559633,0.5945945945945946,0.9944993220995544,4.2565,226.712,3.759,50
2024_gpt4o_mini_span,0,span,4o-mini,False,False,0.04308952018618584,0.6274509803921569,0.5871559633027523,0.6066350710900474,0.9947317451094324,4.2613,226.454,3.755,50
2024_gpt4o_mini_span,0,span,4o-mini,False,False,0.050356425344944,0.6090909090909091,0.6146788990825688,0.6118721461187215,0.9946930079411196,4.2399,227.598,3.774,50
2024_gpt4o_mini_span,0,span,4o-mini,False,False,0.047554269433021545,0.5614035087719298,0.5871559633027523,0.5739910313901345,0.9947704822777454,4.2767,225.642,3.741,50
2024_gpt4o_mini_span,0,span,4o-mini,False,False,0.03787171468138695,0.5634920634920635,0.6513761467889908,0.604255319148936,0.9948479566143716,4.2422,227.476,3.772,50
