dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_mini_span_with_context,0,span/context,4o-mini,False,False,0.051611192524433136,0.6106194690265486,0.6330275229357798,0.6216216216216216,0.9946155336044936,4.0531,238.091,3.948,50
2024_gpt4o_mini_span_with_context,0,span/context,4o-mini,False,False,0.04299342259764671,0.616822429906542,0.6055045871559633,0.611111111111111,0.9945767964361804,4.0008,241.202,3.999,50
2024_gpt4o_mini_span_with_context,0,span/context,4o-mini,False,False,0.04729483276605606,0.6146788990825688,0.6146788990825688,0.6146788990825688,0.9945380592678676,4.2775,225.598,3.74,50
2024_gpt4o_mini_span_with_context,0,span/context,4o-mini,False,False,0.04384762793779373,0.4957983193277311,0.5412844036697247,0.5175438596491228,0.9941506875847376,4.0486,238.355,3.952,29
2024_gpt4o_mini_span_with_context,0,span/context,4o-mini,False,False,0.05126152187585831,0.5409836065573771,0.6055045871559633,0.5714285714285715,0.9943056362579896,4.276,225.681,3.742,50
2024_gpt4o_mini_span_with_context,0,span/context,4o-mini,False,False,0.04876028373837471,0.5652173913043478,0.5963302752293578,0.5803571428571428,0.9944993220995544,4.2857,225.169,3.733,50
2024_gpt4o_mini_span_with_context,0,span/context,4o-mini,False,False,0.04918619990348816,0.6310679611650486,0.5963302752293578,0.6132075471698114,0.9946930079411196,4.2352,227.853,3.778,50
2024_gpt4o_mini_span_with_context,0,span/context,4o-mini,False,False,0.03885035961866379,0.5491803278688525,0.6146788990825688,0.5800865800865802,0.9939570017431726,4.3522,221.725,3.676,50
2024_gpt4o_mini_span_with_context,0,span/context,4o-mini,False,False,0.04596000164747238,0.5943396226415094,0.5779816513761468,0.5860465116279069,0.9944605849312416,4.2828,225.321,3.736,50
2024_gpt4o_mini_span_with_context,0,span/context,4o-mini,False,False,0.040686048567295074,0.6095238095238096,0.5871559633027523,0.5981308411214953,0.9945380592678676,4.2427,227.449,3.771,50
