dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span,0,span,4o,False,False,0.038211774080991745,0.61,0.5596330275229358,0.583732057416268,0.9950866604766326,4.2685,226.077,3.748,50
2024_gpt4o_span,0,span,4o,False,False,0.04183640703558922,0.5754716981132075,0.5596330275229358,0.5674418604651162,0.9947384710615907,4.0598,237.698,3.941,50
2024_gpt4o_span,0,span,4o,False,False,0.04329007863998413,0.5636363636363636,0.5688073394495413,0.5662100456621004,0.994661095636026,4.0246,239.777,3.976,50
2024_gpt4o_span,0,span,4o,False,False,0.040783174335956573,0.58,0.5321100917431193,0.5550239234449761,0.9950092850510678,4.2607,226.487,3.755,50
2024_gpt4o_span,0,span,4o,False,False,0.05090300366282463,0.5428571428571428,0.5229357798165137,0.5327102803738317,0.9945837202104612,4.0758,236.762,3.926,47
2024_gpt4o_span,0,span,4o,False,False,0.0497945211827755,0.5353535353535354,0.48623853211009177,0.5096153846153846,0.994661095636026,4.0489,238.336,3.952,50
2024_gpt4o_span,0,span,4o,False,False,0.046823326498270035,0.5566037735849056,0.5412844036697247,0.5488372093023256,0.9946224079232436,4.2075,229.351,3.803,50
2024_gpt4o_span,0,span,4o,False,False,0.04588687047362328,0.5546218487394958,0.6055045871559633,0.5789473684210525,0.9946997833488084,4.2602,226.517,3.756,50
2024_gpt4o_span,0,span,4o,False,False,0.0403631292283535,0.5871559633027523,0.5871559633027523,0.5871559633027523,0.9949319096255028,4.2216,228.589,3.79,50
2024_gpt4o_span,0,span,4o,False,False,0.03989376500248909,0.5980392156862745,0.5596330275229358,0.5781990521327014,0.9951640359021976,4.2547,226.807,3.761,50
2024_gpt4o_span,0,span,4o,False,False,0.043877437710762024,0.5897435897435898,0.6330275229357798,0.6106194690265486,0.9949319096255028,4.2546,226.814,3.761,50
2024_gpt4o_span,0,span,4o,False,False,0.05087043717503548,0.6477272727272727,0.5229357798165137,0.5786802030456852,0.9948158464871556,4.2502,227.047,3.765,50
2024_gpt4o_span,0,span,4o,False,False,0.051983367651700974,0.5495495495495496,0.5596330275229358,0.5545454545454546,0.9945837202104612,4.2432,227.425,3.771,50
