dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_tweet_only_with_drug_dataset,0,span,No,True,False,0.04075382649898529,0.584070796460177,0.6055045871559633,0.5945945945945946,0.9950368359829392,4.0985,235.452,3.904,50
2024_gpt4o_span_tweet_only_with_drug_dataset,0,span,No,True,False,0.04739168658852577,0.6213592233009708,0.5871559633027523,0.6037735849056604,0.9949205118262892,4.0477,238.408,3.953,50
2024_gpt4o_span_tweet_only_with_drug_dataset,0,span,No,True,False,0.04895156994462013,0.6185567010309279,0.5504587155963303,0.5825242718446602,0.9947654129507562,4.0419,238.749,3.959,50
2024_gpt4o_span_tweet_only_with_drug_dataset,0,span,No,True,False,0.04296113923192024,0.6326530612244898,0.5688073394495413,0.5990338164251208,0.9951143854207056,4.0781,236.628,3.923,50
2024_gpt4o_span_tweet_only_with_drug_dataset,0,span,No,True,False,0.05130354315042496,0.5739130434782609,0.6055045871559633,0.5892857142857142,0.9944164404808064,4.0356,239.125,3.965,50
2024_gpt4o_span_tweet_only_with_drug_dataset,0,span,No,True,False,0.05120285972952843,0.5625,0.5779816513761468,0.5701357466063349,0.9944552151996898,4.0452,238.552,3.955,50
2024_gpt4o_span_tweet_only_with_drug_dataset,0,span,No,True,False,0.04556652158498764,0.62,0.5688073394495413,0.5933014354066987,0.9948429623885228,4.0293,239.495,3.971,50
2024_gpt4o_span_tweet_only_with_drug_dataset,0,span,No,True,False,0.041016556322574615,0.6190476190476191,0.5963302752293578,0.6074766355140186,0.9950756107018224,4.0703,237.085,3.931,50
2024_gpt4o_span_tweet_only_with_drug_dataset,0,span,No,True,False,0.04404827207326889,0.64,0.5871559633027523,0.6124401913875598,0.995153160139589,4.0288,239.528,3.971,50
2024_gpt4o_span_tweet_only_with_drug_dataset,0,span,No,True,False,0.046777646988630295,0.5688073394495413,0.5688073394495413,0.5688073394495413,0.9941837921675069,4.0376,239.006,3.963,50
2024_gpt4o_span_tweet_only_with_drug_dataset,0,span,No,True,False,0.04398713633418083,0.5922330097087378,0.5596330275229358,0.5754716981132075,0.9948041876696394,4.0179,240.176,3.982,50
