dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,0,span,No,True,True,0.04799072444438934,0.5327868852459017,0.5963302752293578,0.5627705627705627,0.99404531745418,4.0306,239.417,3.97,50
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,0,span,No,True,True,0.046654511243104935,0.5806451612903226,0.4954128440366973,0.5346534653465347,0.994161317763514,4.0382,238.966,3.962,50
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,0,span,No,True,True,0.05223684385418892,0.6060606060606061,0.5504587155963303,0.5769230769230769,0.9949733199288532,4.0776,236.66,3.924,50
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,0,span,No,True,True,0.04396410658955574,0.5882352941176471,0.5504587155963303,0.5687203791469195,0.9947026525404068,4.0367,239.054,3.964,50
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,0,span,No,True,True,0.04685959219932556,0.5575221238938053,0.5779816513761468,0.5675675675675675,0.9945479854612944,4.0791,236.57,3.922,50
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,0,span,No,True,True,0.04487823322415352,0.5338983050847458,0.5779816513761468,0.5550660792951543,0.99404531745418,4.0483,238.371,3.952,50
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,0,span,No,True,True,0.03977752849459648,0.5775862068965517,0.6146788990825688,0.5955555555555555,0.9948186528497408,4.0923,235.809,3.91,50
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,0,span,No,True,True,0.04623734578490257,0.6041666666666666,0.5321100917431193,0.5658536585365854,0.9948186528497408,4.1092,234.84,3.894,50
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,0,span,No,True,True,0.04878677427768707,0.6060606060606061,0.5504587155963303,0.5769230769230769,0.9947026525404068,4.0564,237.896,3.944,50
2024_gpt4o_span_tweet_only_with_drug_with_symptom_dataset,0,span,No,True,True,0.03942343592643738,0.5740740740740741,0.5688073394495413,0.5714285714285714,0.9948186528497408,4.032,239.333,3.968,50
