dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_tweet_only_with_symptom_dataset,0,span,No,False,True,0.04513316601514816,0.5590551181102362,0.6513761467889908,0.6016949152542374,0.9947026525404068,4.0504,238.25,3.95,50
2024_gpt4o_span_tweet_only_with_symptom_dataset,0,span,No,False,True,0.03983432427048683,0.5504587155963303,0.5504587155963303,0.5504587155963303,0.9947799860799628,4.1055,235.053,3.897,50
2024_gpt4o_span_tweet_only_with_symptom_dataset,0,span,No,False,True,0.04644698649644852,0.5619834710743802,0.6238532110091743,0.5913043478260869,0.9945866522310726,4.0722,236.974,3.929,50
2024_gpt4o_span_tweet_only_with_symptom_dataset,0,span,No,False,True,0.04596392810344696,0.6018518518518519,0.5963302752293578,0.5990783410138248,0.9946253190008508,4.0692,237.148,3.932,50
2024_gpt4o_span_tweet_only_with_symptom_dataset,0,span,No,False,True,0.03813362866640091,0.6146788990825688,0.6146788990825688,0.6146788990825688,0.994857319619519,4.0653,237.373,3.936,50
2024_gpt4o_span_tweet_only_with_symptom_dataset,0,span,No,False,True,0.0474734753370285,0.559322033898305,0.6055045871559633,0.5814977973568283,0.9944706519217384,4.1073,234.946,3.895,50
2024_gpt4o_span_tweet_only_with_symptom_dataset,0,span,No,False,True,0.04733458161354065,0.6344086021505376,0.5412844036697247,0.5841584158415841,0.9951666537777434,4.0431,238.678,3.957,50
2024_gpt4o_span_tweet_only_with_symptom_dataset,0,span,No,False,True,0.0426296666264534,0.5855855855855856,0.5963302752293578,0.5909090909090908,0.9951279870079652,4.0456,238.53,3.955,50
2024_gpt4o_span_tweet_only_with_symptom_dataset,0,span,No,False,True,0.04393572360277176,0.6352941176470588,0.4954128440366973,0.556701030927835,0.9945866522310726,4.0828,236.355,3.919,50
2024_gpt4o_span_tweet_only_with_symptom_dataset,0,span,No,False,True,0.05154739320278168,0.5607476635514018,0.5504587155963303,0.5555555555555556,0.9945866522310726,4.0476,238.412,3.953,50
2024_gpt4o_span_tweet_only_with_symptom_dataset,0,span,No,False,True,0.05149726942181587,0.5922330097087378,0.5596330275229358,0.5754716981132075,0.9945479854612944,4.0744,236.846,3.927,50
