dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_with_context,0,span/context,4o,False,False,0.04758249223232269,0.6145833333333334,0.5412844036697247,0.5756097560975609,0.9946224079232436,4.0439,238.633,3.957,50
2024_gpt4o_span_with_context,0,span/context,4o,False,False,0.04317972809076309,0.5619834710743802,0.6238532110091743,0.5913043478260869,0.9945063447848964,4.061,237.625,3.94,50
2024_gpt4o_span_with_context,0,span/context,4o,False,False,0.04158677160739899,0.5585585585585585,0.5688073394495413,0.5636363636363636,0.9943129062209842,4.2442,227.367,3.77,50
2024_gpt4o_span_with_context,0,span/context,4o,False,False,0.025537654757499695,0.2647058823529412,0.3302752293577982,0.2938775510204082,0.9918755803156918,4.0463,238.489,3.954,1
2024_gpt4o_span_with_context,0,span/context,4o,False,False,0.04868251830339432,0.5495495495495496,0.5596330275229358,0.5545454545454546,0.9943515939337666,4.0595,237.715,3.941,50
2024_gpt4o_span_with_context,0,span/context,4o,False,False,0.04887537658214569,0.5663716814159292,0.5871559633027523,0.5765765765765767,0.9944289693593314,4.2661,226.204,3.751,50
2024_gpt4o_span_with_context,0,span/context,4o,False,False,0.04797670990228653,0.5660377358490566,0.5504587155963303,0.5581395348837208,0.9943129062209842,4.2751,225.725,3.743,50
2024_gpt4o_span_with_context,0,span/context,4o,False,False,0.052179478108882904,0.5754716981132075,0.5596330275229358,0.5674418604651162,0.994661095636026,4.2473,227.205,3.767,50
2024_gpt4o_span_with_context,0,span/context,4o,False,False,0.031266018748283386,0.5727272727272728,0.5779816513761468,0.5753424657534247,0.9945063447848964,4.2865,225.127,3.733,50
2024_gpt4o_span_with_context,0,span/context,4o,False,False,0.04318881407380104,0.5254237288135594,0.5688073394495413,0.5462555066079297,0.9943902816465492,4.281,225.413,3.737,50
2024_gpt4o_span_with_context,0,span/context,4o,False,False,0.04311228170990944,0.532258064516129,0.6055045871559633,0.5665236051502146,0.9946997833488084,4.2829,225.316,3.736,50
2024_gpt4o_span_with_context,0,span/context,4o,False,False,0.048601195216178894,0.580952380952381,0.5596330275229358,0.5700934579439252,0.9945063447848964,4.2336,227.941,3.779,50
