dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_with_drug_dataset,0,span,4o,True,False,0.0473245233297348,0.5904761904761905,0.5688073394495413,0.5794392523364487,0.9948767708131184,3.9958,241.505,4.004,50
2024_gpt4o_span_with_drug_dataset,0,span,4o,True,False,0.049454476684331894,0.5614035087719298,0.5871559633027523,0.5739910313901345,0.9946050844168446,4.0068,240.839,3.993,50
2024_gpt4o_span_with_drug_dataset,0,span,4o,True,False,0.048700954765081406,0.5619047619047619,0.5412844036697247,0.5514018691588786,0.9945662720745198,4.0183,240.149,3.982,50
2024_gpt4o_span_with_drug_dataset,0,span,4o,True,False,0.041794583201408386,0.559322033898305,0.6055045871559633,0.5814977973568283,0.9942945856782456,3.9706,243.039,4.03,50
2024_gpt4o_span_with_drug_dataset,0,span,4o,True,False,0.04456585645675659,0.5961538461538461,0.5688073394495413,0.5821596244131455,0.9949932078400932,4.0034,241.044,3.997,50
2024_gpt4o_span_with_drug_dataset,0,span,4o,True,False,0.04330042004585266,0.5625,0.5779816513761468,0.5701357466063349,0.9949932078400932,4.0248,239.765,3.975,50
2024_gpt4o_span_with_drug_dataset,0,span,4o,True,False,0.03453525900840759,0.5476190476190477,0.6330275229357798,0.5872340425531916,0.9947215214438192,4.0276,239.598,3.973,50
2024_gpt4o_span_with_drug_dataset,0,span,4o,True,False,0.046719588339328766,0.5765765765765766,0.5871559633027523,0.5818181818181819,0.9951484572093926,4.0355,239.129,3.965,50
2024_gpt4o_span_with_drug_dataset,0,span,4o,True,False,0.03668639808893204,0.5384615384615384,0.5779816513761468,0.5575221238938053,0.9951484572093926,4.0228,239.88,3.977,50
2024_gpt4o_span_with_drug_dataset,0,span,4o,True,False,0.05478449538350105,0.6145833333333334,0.5412844036697247,0.5756097560975609,0.9941393363089462,4.0051,240.941,3.995,50
