dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_with_drug_with_symptom_dataset,0,span,4o,True,True,0.04230928421020508,0.5254237288135594,0.5904761904761905,0.5560538116591928,0.9947902492127056,4.047,238.449,3.954,50
2024_gpt4o_span_with_drug_with_symptom_dataset,0,span,4o,True,True,0.03636801242828369,0.5275590551181102,0.638095238095238,0.5775862068965517,0.995062400373236,4.0392,238.909,3.961,50
2024_gpt4o_span_with_drug_with_symptom_dataset,0,span,4o,True,True,0.04379906505346298,0.5619047619047619,0.5619047619047619,0.5619047619047619,0.9945180980521752,4.0706,237.063,3.931,50
2024_gpt4o_span_with_drug_with_symptom_dataset,0,span,4o,True,True,0.04704185947775841,0.6237623762376238,0.6,0.6116504854368933,0.9949846428987986,4.0394,238.898,3.961,50
2024_gpt4o_span_with_drug_with_symptom_dataset,0,span,4o,True,True,0.03672952577471733,0.5566037735849056,0.5619047619047619,0.5592417061611374,0.994751370475487,4.1095,234.819,3.893,50
2024_gpt4o_span_with_drug_with_symptom_dataset,0,span,4o,True,True,0.04833150655031204,0.6020408163265306,0.5619047619047619,0.5812807881773399,0.9946347342638312,4.0476,238.412,3.953,50
2024_gpt4o_span_with_drug_with_symptom_dataset,0,span,4o,True,True,0.048178091645240784,0.5363636363636364,0.5619047619047619,0.5488372093023255,0.9943625831033008,4.0426,238.705,3.958,50
2024_gpt4o_span_with_drug_with_symptom_dataset,0,span,4o,True,True,0.049651239067316055,0.5225225225225225,0.5523809523809524,0.537037037037037,0.9944792193149566,4.0239,239.818,3.976,50
2024_gpt4o_span_with_drug_with_symptom_dataset,0,span,4o,True,True,0.04178115725517273,0.5158730158730159,0.6190476190476191,0.5627705627705628,0.9946736130010496,4.028,239.572,3.972,50
2024_gpt4o_span_with_drug_with_symptom_dataset,0,span,4o,True,True,0.04887712746858597,0.5918367346938775,0.5523809523809524,0.5714285714285715,0.9946736130010496,4.055,237.977,3.946,50
