dataset,iteration,type,gpt_model,drugs_context,symptom_context,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
2024_gpt4o_span_with_symptom_dataset,0,span,4o,False,True,0.03810569643974304,0.5384615384615384,0.6,0.5675675675675675,0.9947727096724231,4.0501,238.266,3.951,50
2024_gpt4o_span_with_symptom_dataset,0,span,4o,False,True,0.042982444167137146,0.5909090909090909,0.6190476190476191,0.6046511627906977,0.9953535197088206,4.0488,238.344,3.952,50
2024_gpt4o_span_with_symptom_dataset,0,span,4o,False,True,0.03787131607532501,0.6086956521739131,0.5333333333333333,0.568527918781726,0.9951211956942616,4.0581,237.797,3.943,50
2024_gpt4o_span_with_symptom_dataset,0,span,4o,False,True,0.047486286610364914,0.6020408163265306,0.5619047619047619,0.5812807881773399,0.99473398900333,4.045,238.567,3.956,50
2024_gpt4o_span_with_symptom_dataset,0,span,4o,False,True,0.0464843288064003,0.5612244897959183,0.5238095238095238,0.541871921182266,0.9948501510106096,4.0753,236.792,3.926,50
2024_gpt4o_span_with_symptom_dataset,0,span,4o,False,True,0.03283858671784401,0.5357142857142857,0.5714285714285714,0.552995391705069,0.9951599163633548,4.0488,238.345,3.952,50
2024_gpt4o_span_with_symptom_dataset,0,span,4o,False,True,0.040054790675640106,0.559322033898305,0.6285714285714286,0.5919282511210763,0.9948501510106096,4.0429,238.688,3.958,50
2024_gpt4o_span_with_symptom_dataset,0,span,4o,False,True,0.050411421805620193,0.5495495495495496,0.580952380952381,0.5648148148148149,0.9946565476651436,4.046,238.508,3.955,50
2024_gpt4o_span_with_symptom_dataset,0,span,4o,False,True,0.04482870176434517,0.5565217391304348,0.6095238095238096,0.5818181818181819,0.9949275923487958,4.0425,238.711,3.958,50
2024_gpt4o_span_with_symptom_dataset,0,span,4o,False,True,0.04240875318646431,0.5384615384615384,0.6,0.5675675675675675,0.995198637032448,4.0642,237.437,3.937,50
